system,user,assistant
You are a Frappe Framework expert. Your task is to provide helpful information about the Frappe Framework.,"Okay, and what about `yarn`? How do I install it on Debian/Ubuntu?","You can install `yarn` using `npm`, like this:

```bash
npm install -g yarn
```
"
You are a Frappe Framework expert. Your task is to provide helpful information about the Frappe Framework.,What steps are required to install `wkhtmltopdf` on Debian/Ubuntu?,"First, install the `xvfb` and `libfontconfig` packages:

```bash
apt-get install xvfb libfontconfig
```

Then, download the `wkhtmltopdf` package from the official website: [https://wkhtmltopdf.org/downloads.html](https://wkhtmltopdf.org/downloads.html).

Finally, install the package using `dpkg`:

```bash
dpkg -i wkhtmltox_file.deb
```

Replace `wkhtmltox_file.deb` with the actual filename of the downloaded package."
You are a Frappe Framework expert. Your task is to provide helpful information about the Frappe Framework.,I've installed all the prerequisites. How do I install the Bench CLI?,"You can install the Bench CLI using `pip3`:

```bash
pip3 install frappe-bench
```

You can confirm the installation by checking the version:

```bash
bench --version
```

This should output the installed version, for example, `5.2.1`."
You are a Frappe Framework expert. Your task is to provide helpful information about the Frappe Framework.,What do I do after installing Bench CLI?,"After installing Bench, you can create your first Bench folder. Navigate to your home directory and run this command:

```bash
cd ~
bench init frappe-bench
```

Once the `frappe-bench` folder is created, change your directory to it and start Bench with this command:

```bash
bench start
```

Congratulations! You've successfully installed Bench on your system.

You can now start building your Frappe applications."
You are a Frappe Framework expert. Your task is to provide helpful information about the Frappe Framework.,I noticed a note about installing Bench in production mode. How is that different from developer mode?,"The instructions you've been following are for installing Bench in developer mode. This is ideal for local development and testing. It provides you with a full development environment. 

For production mode, the installation process is different. You would typically use a virtual environment to isolate dependencies. The recommended installation methods for production are documented in the Frappe Framework repository: [https://github.com/frappe/bench#installation](https://github.com/frappe/bench#installation)"
You are a Frappe Framework expert.,What is the Frappe Framework?,"Frappe, pronounced fra-pay, is a full stack, batteries-included, web framework written in Python and Javascript with MariaDB as the database. It is the framework that powers ERPNext and can be used to build database-driven applications."
You are a Frappe Framework expert.,What kind of applications can I build with Frappe?,"The Frappe Framework is versatile. You can build various types of applications, including but not limited to: 

* **ERP Systems:** Like the popular ERPNext, you can create enterprise resource planning software.
* **Custom Business Applications:** Build solutions tailored to specific business needs, like inventory management or CRM systems.
* **Web Applications:**  Develop general-purpose web applications with user interfaces, data management, and more."
You are a Frappe Framework expert.,I'm interested in building a Library Management System. What are the key components involved in this tutorial?,"You've chosen a great example! The Library Management System in this tutorial will use these core components:

1. **DocTypes:** You'll define data models for key entities like 'Article', 'Library Member', 'Library Transaction', 'Library Membership', and 'Library Settings'.
2. **Desk:** The Librarian will interact with the system through the 'Desk', a powerful admin interface that provides views and features like List, Form, Report, and Role-based Permissions.
3. **Web Views:** Library members will access public web views to browse available articles. You'll create these using Jinja templating."
You are a Frappe Framework expert.,What are DocTypes in Frappe?,"DocTypes are the foundation of any application built with Frappe. They define the structure of your data, similar to database tables. Each DocType represents a specific entity in your application, like 'Article' or 'Library Member'.  They have fields (like 'Title', 'Author', 'Due Date') and relationships between each other. This allows you to manage data efficiently and build complex logic within your app."
You are a Frappe Framework expert.,I noticed the tutorial mentions 'Bench'. What is Bench?,"Bench is a command-line tool that helps you manage your Frappe applications. Think of it as a control center.  It allows you to:

* **Create and manage Frappe applications (apps).**
* **Create and configure multiple Frappe sites.**
* **Install and manage dependencies for your applications.**
* **Deploy your applications to production environments.**"
You are a Frappe Framework expert.,I want to learn more about creating a 'DocType'. Where can I find more information?,You can find a detailed guide on creating DocTypes in the Frappe Framework documentation: [https://frappeframework.com/docs/user/en/tutorial/create-a-doctype](https://frappeframework.com/docs/user/en/tutorial/create-a-doctype). This step-by-step guide will walk you through the process and help you build your Library Management System effectively.
You are a Frappe Framework expert.,What is Bench?,Bench is the command-line tool used to manage Frappe apps and sites. It's your primary interface for interacting with the framework.
You are a Frappe Framework expert.,How do I install Bench?,"You can find the detailed installation guide at [Installation](/docs/v14/user/en/installation). After installation, you'll be able to run commands starting with `bench`."
You are a Frappe Framework expert.,What is the purpose of the `frappe-bench` directory?,"The `frappe-bench` directory serves as your project folder. It houses all your Frappe apps and sites. When you run `bench init frappe-bench`, it creates this directory and sets up the necessary environment for your Frappe projects."
You are a Frappe Framework expert.,What does the `bench init frappe-bench` command do?,"The `bench init frappe-bench` command creates the `frappe-bench` directory and performs several essential tasks:

1. **Creates a Python virtual environment:** This ensures you have the correct dependencies for Frappe.
2. **Fetches and installs the `frappe` app:** This installs the core Frappe Framework package.
3. **Installs node modules:**  This installs the required Javascript dependencies for Frappe.
4. **Builds static assets:**  It prepares the necessary CSS and Javascript files for the web interface."
You are a Frappe Framework expert.,What are the key directories inside the `frappe-bench` directory?,"Let's break down the main directories within `frappe-bench`:

* **env:** The Python virtual environment that houses Frappe dependencies.
* **config:**  Contains configuration files for Redis (caching, queuing, Socketio) and Nginx (web server).
* **logs:** Stores log files for different processes like the web server, workers, and backups.
* **sites:** This directory houses your Frappe sites, containing their app lists, static assets, and site-specific configuration.
* **apps:**  Here you'll find the directories of your installed Frappe apps.  `frappe` itself is included in this directory."
You are a Frappe Framework expert.,What happens when I run the `bench start` command?,"Running `bench start` inside the `frappe-bench` directory brings your Frappe instance to life. It launches several important processes:

* **Python Web Server (Gunicorn):**  This serves the Frappe web interface.
* **Redis Servers:** Redis instances are used for caching, job queuing, and real-time communication via Socketio.
* **Background Workers:** These run tasks in the background, such as scheduled jobs and long-running processes.
* **Node Servers:**  These handle Socketio communication (real-time updates) and compile Javascript/CSS files."
You are a Frappe Framework expert.,What port does the web server listen on?,"By default, the Frappe web server starts listening on port `8000` after you run `bench start`."
You are a Frappe Framework expert.,"I see that the web server is running, but why don't I have any sites to access yet?","That's right!  The web server is ready to serve your Frappe sites, but you need to create a site first.  To get started, you'll need to create an app and then create a site that uses that app.  The next steps in the tutorial guide you through this process."
You are a Frappe Framework expert.,"So, I shouldn't close the terminal where `bench start` is running?",That's correct!  Keep the terminal window open where you ran `bench start`.  The processes it started are essential for your Frappe instance to function.  You can use a separate terminal window to run other `bench` commands.
You are a Frappe Framework expert.,What's the next step in the tutorial?,The next step in the tutorial is to create your first Frappe app. You can find detailed instructions on how to do this at [Create an App](/docs/v14/user/en/tutorial/create-an-app).
You are a Frappe Framework expert.,How do I create a new Frappe app?,"You can create a new Frappe app using the `bench new-app` command. This will create a scaffold for your app, including the necessary directories and files. You can then customize these files to create your own app."
You are a Frappe Framework expert.,What is the purpose of the `public` directory in my app?,"The `public` directory in your Frappe app is used to store static files, such as CSS and JavaScript files, that will be served from Nginx in production. These files are used to style and enhance the functionality of your app's web interface."
You are a Frappe Framework expert.,What is the `templates` directory used for?,The `templates` directory contains Jinja templates that are used to render web views in your Frappe app. These templates allow you to dynamically generate HTML pages based on data retrieved from your app's database.
You are a Frappe Framework expert.,What is the difference between the `www` and `library_management` directories?,"The `www` directory is used to store web pages that are served based on their directory path, while the `library_management` directory is the default module bootstrapped with your app. This module is used to house the core logic and functionalities of your application."
You are a Frappe Framework expert.,Where can I find a list of all supported icons for my Frappe app?,You can find a complete list of all icons supported in the octicons library at <https://primer.style/octicons/>. These icons can be used to enhance the visual appeal of your app.
You are a Frappe Framework expert.,What is the purpose of the `pyproject.toml` file in my app?,"The `pyproject.toml` file specifies how your app is built. You can optionally add third-party Python dependencies to this file, which will be installed when your app is installed. This file ensures that your app has all the necessary dependencies to run smoothly."
You are a Frappe Framework expert.,I'm new to Frappe. Can you explain what a 'DocType' is?,"A DocType is the core building block of any application based on the Frappe Framework. It represents a database table and defines the structure and behavior of a specific data entity within your app. For example, you might create a DocType called 'Customer' to store information about your app's customers."
You are a Frappe Framework expert.,I'm trying to create an app for managing a library. How can I ensure my app integrates well with the Frappe Framework?,"Frappe provides a flexible and extensible framework, allowing you to create custom apps that seamlessly integrate with its core functionalities.  Here are some tips to ensure your library management app integrates well with Frappe:

1. **Leverage DocTypes:** Define custom DocTypes to represent key entities in your library, such as 'Book', 'Member', 'Loan', etc.  This provides a structured way to manage your library data.

2. **Utilize Modules:** Organize your app's features and logic into modules for better maintainability.  You can define modules in `modules.txt` to categorize your app's components.

3. **Implement Hooks:** Extend or intercept existing Frappe functionality using hooks defined in `hooks.py`. This allows you to customize behaviors, such as form validation or event triggers, to fit your library management requirements.

4. **Create Custom Pages:** Design custom pages using Jinja templates in the `templates` directory to provide a user-friendly interface for managing your library.

5. **Utilize Static Files:** Store CSS and JavaScript files in the `public` directory for styling and client-side interactions.

By following these guidelines, you can develop a well-structured and functional library management app that seamlessly integrates with the Frappe Framework."
You are a Frappe Framework expert.,How do I create a new Frappe site?,"To create a new site, you need to run the `bench new-site` command from the `frappe-bench` directory. You'll be prompted for your MySQL root password and to set a password for the Administrator user.  The command will create a new site folder within the `sites` directory, as well as a new database and user. You can then access your site in the browser at `http://[your_site_name]:8000`."
You are a Frappe Framework expert.,What happens if site creation fails?,"If site creation fails for any reason, you'll be prompted to roll back the changes. This will delete the newly created site folder, database, and user, allowing you to retry without manual cleanup."
You are a Frappe Framework expert.,Can you explain the site directory structure?,"The site directory contains several folders: `indexes` for website search data, `locks` for file-based locks and site status indicators, `private` for database backups and private files that require authentication, `public` for files accessible without authentication (like website images), and `site_config.json` for site-specific configuration (similar to an environment variables file)."
You are a Frappe Framework expert.,What is the `site_config.json` file used for?,"The `site_config.json` file stores configuration specific to your site and should not be version controlled. This file includes database configuration details, such as the database name, password, and type. You can access your site's `site_config.json` file from within the `sites` directory."
You are a Frappe Framework expert.,I'm having trouble accessing my site in the browser. What should I do?,"If you cannot access your site at `http://[your_site_name]:8000`, you need to tell your operating system to map the site name to your localhost. You can do this by adding an entry to your `/etc/hosts` file, mapping `127.0.0.1` to `[your_site_name]`.  Alternatively, you can use the `bench --site [your_site_name] add-to-hosts` command to automatically add this entry."
You are a Frappe Framework expert.,How do I install an app on my site?,"To install an app on your site, use the `bench --site [your_site_name] install-app [app_name]` command.  You can confirm the installation by running `bench --site [your_site_name] list-apps`."
You are a Frappe Framework expert.,What is Desk?,"Desk is the primary interface in Frappe where you can create and manage DocTypes, view data, and configure your applications. It is accessible through your site URL (`http://[your_site_name]:8000`). After logging in as the Administrator, you will be guided through a one-time setup wizard to set up localization details for your site."
You are a Frappe Framework expert.,What are some useful site commands?,"Frappe provides many useful site commands. For example, you can access the Python console with `bench --site [your_site_name] console`, the MariaDB console with `bench --site [your_site_name] mariadb`, and create a database backup with `bench --site [your_site_name] backup`.  You can view a comprehensive list of site commands by running `bench --help`."
You are a Frappe Framework expert.,Where can I learn more about creating DocTypes?,You can find detailed information about creating DocTypes in the Frappe Framework documentation at [https://frappeframework.com/docs/v14/user/en/tutorial/create-a-doctype](https://frappeframework.com/docs/v14/user/en/tutorial/create-a-doctype). The documentation provides comprehensive tutorials and guides on building custom applications using DocTypes.
You are a Frappe Framework expert.,What is a DocType?,A DocType is analogous to a Model in other frameworks. It defines properties of a data structure and its behavior. You can think of it as a blueprint for creating data records in your application.
You are a Frappe Framework expert.,Why do I need to enable developer mode before creating a DocType?,"Enabling developer mode provides you with the necessary tools and features to create and manage custom DocTypes. It enables boilerplate code generation, allowing you to easily track your custom DocTypes under version control with your application."
You are a Frappe Framework expert.,How can I create a new DocType?,"You can create a new DocType from the DocType List within the Frappe Desk. You can access the DocType List through the Awesomebar.  To create a new DocType, click on 'New,' enter a name for your DocType (e.g., 'Article'), select a Module (e.g., 'Library Management'), and then define the fields for your DocType."
You are a Frappe Framework expert.,"What happens when I create a new DocType, like the 'Article' DocType?","Creating a DocType like 'Article' leads to the creation of several components: 

1. **Database Table:**  A database table named `tabArticle` is automatically generated, incorporating the fields you defined. 
2. **Desk Views:**  Frappe creates a List view for displaying records and a Form view for editing or creating new records.
3. **Form Layout:** The form layout mirrors the order of fields you specified, making it easy to manage the form's appearance. 
4. **Boilerplate Code:** Several Python and Javascript files are created to support your DocType: `article.json` defines DocType attributes, `article.js` handles client-side form interactions, `article.py` controls server-side logic, and `test_article.py` provides a boilerplate for writing unit tests.  These files are generated under your app's directory."
You are a Frappe Framework expert.,What are some important considerations when creating a new DocType?,"When creating a DocType, it's essential to keep in mind:

* **Custom? Checkbox:** Uncheck the 'Custom?' checkbox if you want the default boilerplate code to be generated for your DocType. If you check it, you'll have more control over the code but you'll need to write more of it manually. 
* **Field Types:**  Choose appropriate field types (Data, Select, Text Editor, etc.) for your fields to ensure they function as intended. 
* **Naming Conventions:**  Fields defined in Title Case will be automatically converted to snake case (e.g., 'Article Name' becomes 'article_name') when used as column names in the database table."
You are a Frappe Framework expert.,What are DocTypes in Frappe Framework?,DocTypes are the fundamental building blocks of applications within the Frappe Framework. They essentially define the structure and behavior of data within your application. Think of them as blueprints for creating custom objects or entities that represent your business data.
You are a Frappe Framework expert.,I see that we can customize the naming of a DocType. How does that work?,"You're right! By default, when you create a document with a DocType, it gets assigned a randomly generated hash as its `name`. But you can customize this. You can set the `name` of the document to be based on a field in your DocType.  For example, in the 'Article' DocType, we can use the 'Article Name' field to automatically assign a name to the document. You can do this by configuring the 'Auto Name' field in the DocType's settings, using the format `field:article_name`."
You are a Frappe Framework expert.,Can you explain the importance of DocType naming in Frappe?,"DocType naming is crucial in Frappe for a few key reasons:

* **Uniqueness:**  By setting a field-based name, you ensure that each document you create has a unique identifier, preventing duplicate entries and ensuring data integrity.

* **Meaningful Identifiers:**  Using a field like 'Article Name' makes it easy to recognize and understand the contents of each document. This is especially helpful when managing large amounts of data.

* **Data Retrieval:**  Well-defined names can make searching and retrieving data much more efficient, as you can directly query based on these meaningful identifiers.

You can learn more about DocType Naming in detail by visiting [https://frappeframework.com/docs/v14/user/en/basics/doctypes/naming](https://frappeframework.com/docs/v14/user/en/basics/doctypes/naming)."
You are a Frappe Framework expert.,I'm also interested in customizing the layout of the DocType form. How can I do that?,You can easily customize the layout of your DocType forms in Frappe to enhance usability and make them visually appealing.  You can use special fields like 'Column Break' and 'Section Break' to organize fields into distinct sections and columns.  This helps you arrange your fields logically and make the form more user-friendly. You can also hide fields that are not essential for the form by toggling the 'Hidden' property of the field.
You are a Frappe Framework expert.,Is there a way to display an image directly in the form itself?,"Yes, absolutely! You can use the 'Form Settings' section of your DocType to configure how an image field is displayed.  By entering the name of your image field (e.g., 'image') in the 'Image Field' setting, the image will appear prominently at the top left of the form. This is a great way to visually enhance your forms."
You are a Frappe Framework expert.,How can I control who has access to what data and actions within a DocType?,"Frappe offers powerful permission management features that allow you to granularly control access to DocTypes and their associated data. You can define roles and assign permissions to those roles, specifying which actions (read, write, create, delete, etc.) are permitted for each role within a given DocType.  For example, you might create a 'Librarian' role with full access, while a 'Library Member' role would have only read permissions. This ensures data security and helps you manage who can perform specific actions within your application."
You are a Frappe Framework expert.,Can you explain what controller methods are in Frappe?,"Controller methods in Frappe allow you to write custom business logic that gets executed during specific stages of a document's lifecycle.  Think of them as hooks that trigger your code at certain points, like before saving a document or after it's been created."
You are a Frappe Framework expert.,I'm working on creating a 'Library Member' doctype. How can I use a controller method to automatically generate the full name field from the first and last name?,"You can achieve that by using the `before_save` method within your `library_member.py` file. Inside this method, you'll write logic to combine the first and last names and assign the result to the `full_name` field. This method will automatically run every time a Library Member document is saved."
You are a Frappe Framework expert.,"Okay, so I should create a `before_save` method inside the `LibraryMember` class in my `library_member.py` file. Can you give me an example of how to write the code for this method?","```python
class LibraryMember(Document):
    # This method will run every time a document is saved
    def before_save(self):
        self.full_name = f'{self.first_name} {self.last_name or }' 
```

In this code, `self.full_name` is assigned the combined first and last names. The `self.last_name or ` part ensures that if the last name is empty, it won't add an extra space to the full name."
You are a Frappe Framework expert.,"Great!  I've implemented the `before_save` method, but the full name field still isn't showing up when I create a new library member. What could be the problem?","It's possible that server-side scripts are not enabled. You can check and enable them by running the following command in your terminal, replacing `<YOUR_SITE>` with your actual site name:  

`bench --site <YOUR_SITE> set-config server_script_enabled true`

After that, restart your Frappe server.  This should allow the `before_save` method to execute correctly."
You are a Frappe Framework expert.,"I've enabled server-side scripts, but the full name is still not appearing. Any other things I should check?","It's possible that the cache is causing issues. Try clearing the cache by going to **Settings > Reload** in your Frappe instance. After clearing the cache, try creating a new Library Member again. The full name should now appear after you save the document."
You are a Frappe Framework expert.,Where can I find more information about other controller methods besides `before_save`?,You can learn about all the available controller methods and their uses in the Frappe documentation at [Controller](https://frappeframework.com/docs/v14/user/en/basics/doctypes/controllers) docs.
You are a Frappe framework expert.,What is a DocType in the Frappe framework?,"A DocType is the fundamental building block of any application within the Frappe Framework. It essentially defines the structure of your data, like a table in a relational database. Each DocType represents a different type of information you want to store and manage within your application. For example, you might have DocTypes for 'Customers,' 'Products,' 'Invoices,' or 'Employees,' depending on the application you're building."
You are a Frappe framework expert.,Can you explain the concept of Linked DocTypes?,"Linked DocTypes are essentially foreign keys in other frameworks. They allow you to establish relationships between different types of data within your application.  A Link field in a DocType lets you link a record to another DocType. For example, in our 'Library Membership' DocType, the 'Library Member' field is a Link field that links to the 'Library Member' DocType. This means you can associate a specific library membership with a particular library member, creating a clear connection between those records.  You can link any DocType to any other DocType, enabling you to build complex relationships and connections within your application."
You are a Frappe framework expert.,What are Submittable DocTypes and what states can they have?,"A Submittable DocType is a type of DocType that allows you to control the state of a document. When you enable 'Is Submittable,' you can track the progress of a document through different stages. These stages include:

* **Draft:** The initial state, where the document is still under development and can be freely edited.
* **Submitted:**  A document in this state indicates it has been reviewed and finalized. Changes to the document are restricted once it reaches this state.
* **Cancelled:**  This state marks the document as invalid. The document can only be amended by creating a duplicate and linking it to the original cancelled document using the 'Amended From' field."
You are a Frappe framework expert.,I see the `before_submit` method in the `library_membership.py` code. What does this method do?,"The `before_submit` method is a built-in function in the Frappe Framework that allows you to execute custom logic before a document is submitted.  In the `library_membership.py` code, the `before_submit` method is used to prevent creating overlapping Library Memberships.  It checks if there's already an active membership for the selected Library Member. If an active membership exists, it throws an error message, preventing the user from creating the new membership."
You are a Frappe framework expert.,Can you explain the difference between Master and Transactional DocTypes?,"Master DocTypes represent entities that are typically unchanging or change relatively infrequently.  Think of them as the core data that your application revolves around. Examples include:

* **Article:**  Information about a specific article in the library (title, author, etc.)
* **Library Member:**  Details about a library member (name, contact information, etc.)

Transactional DocTypes, on the other hand, capture events or transactions that occur within your system.  They track how your master data interacts or changes over time. An example is:

* **Library Membership:**  Records the details of a member's membership (start date, end date, paid status)."
You are a Frappe framework expert.,"What are Single DocTypes, and how do they differ from other DocTypes?","Single DocTypes are similar to singleton records in other frameworks. They are used to store global settings or configurations that should only have one instance.  When you enable 'Is Single' for a DocType, it doesn't create a separate database table. Instead, its data is stored in the `tabSingles` table.  This makes it efficient for storing global settings like 'Loan Period' and 'Maximum Number of Issued Articles' in our library example."
You are a Frappe Framework expert.,Can you explain what Form Scripts are and how they work in Frappe?,"Form Scripts are client-side JavaScript code that enhances the user experience of your forms in Frappe. They are written using the Frappe UI framework and run within the browser. These scripts allow you to customize the behavior of your forms by adding new features, modifying existing functionality, and automating tasks. You can write Form Scripts to manipulate data, add custom buttons, change the appearance of forms, and much more. The example given in the documentation shows how to add custom buttons to the ""Library Member"" form, which allow you to easily create related ""Library Membership"" and ""Library Transaction"" documents."
You are a Frappe Framework expert.,I'm interested in learning more about Form Scripts. Where can I find documentation and resources?,"You can find the complete Form Scripts documentation at the following link: [Form Scripts API](https://frappeframework.com/docs/v14/user/en/api/form). This page covers the API and functionalities of Form Scripts in detail, allowing you to explore and implement advanced customizations for your Frappe applications."
You are a Frappe Framework expert.,Could you provide some practical examples of how Form Scripts can be used to improve the user experience?,"Sure. Here are some practical examples of how Form Scripts can enhance user experience:

1. **Data Validation:** Form Scripts can be used to validate user input and ensure data integrity. For example, you could write a script to check if a field is required, if a field contains valid data format (like email or phone number), or if a field has a specific range of values.

2. **Dynamic Fields:** You can use Form Scripts to dynamically add or remove fields based on user selections or other conditions. This can be helpful in creating forms that are more user-friendly and adaptable to different scenarios.

3. **Custom Actions:** Form Scripts allow you to add custom buttons and actions to your forms. You can use this to create shortcuts, automate tasks, or trigger specific workflows. For example, you can add a button to a sales order form to automatically create an invoice after the order is placed.

4. **Real-time Updates:** Form Scripts can be used to update the form in real-time based on user interactions or changes in data. For example, you can use a script to automatically calculate the total amount of a sales order based on the quantity and price of the items being ordered."
You are a Frappe Framework expert.,I want to learn how to create a custom button on a form. How do I do that using Form Scripts?,"Here's how you can create a custom button on a form using Form Scripts in Frappe. Let's take the example of adding a ""Create Membership"" button to the ""Library Member"" form as shown in the documentation:

1. **Create the JavaScript File:**  Create a new JavaScript file named **library_member.js** in your Frappe application's custom scripts directory. This file will contain the code for your Form Script.

2. **Write the Form Script Code:** Inside the JavaScript file, write the following code:

```javascript
frappe.ui.form.on('Library Member', {
  refresh: function(frm) {
    frm.add_custom_button('Create Membership', () => {
      frappe.new_doc('Library Membership', {
        library_member: frm.doc.name
      })
    })
  }
});
```

3. **Explanation:**

* `frappe.ui.form.on('Library Member', ...)`: This line specifies that the Form Script will run on the ""Library Member"" DocType.
* `refresh: function(frm)`: This defines a function that will be executed whenever the form is refreshed or loaded.
* `frm.add_custom_button('Create Membership', ...)`: This adds a custom button labeled ""Create Membership"" to the form.
* `frappe.new_doc('Library Membership', ...)`: This function creates a new document of the ""Library Membership"" DocType and automatically sets the `library_member` field to the name of the current ""Library Member"" record.

4. **Test the Button:** After saving the JavaScript file, refresh your browser. You should now see the ""Create Membership"" button on the ""Library Member"" form. Clicking this button will create a new ""Library Membership"" document with the correct member already selected."
You are a Frappe Framework expert.,How do I make sure the custom button I created is only visible to specific users or user roles?,"You can control the visibility of custom buttons based on user roles or permissions using the `frappe.user.has_role` function. Here's how you can modify the Form Script to make the ""Create Membership"" button visible only to users with the ""Librarian"" role:

```javascript
frappe.ui.form.on('Library Member', {
  refresh: function(frm) {
    if (frappe.user.has_role('Librarian')) {
      frm.add_custom_button('Create Membership', () => {
        frappe.new_doc('Library Membership', {
          library_member: frm.doc.name
        })
      })
    }
  }
});
```

By adding the `if (frappe.user.has_role('Librarian'))` condition, the custom button will only be added to the form if the currently logged-in user has the ""Librarian"" role. You can adapt this logic to any role or permission you need to enforce."
